Herfstvakantie,2018-10-29T00:00:00,2018-11-04T00:00:00
Herfstvakantie,2017-10-30T00:00:00,2017-11-05T00:00:00
Herfstvakantie,2016-10-31T00:00:00,2016-11-06T00:00:00
Herfstvakantie,2015-11-02T00:00:00,2015-11-08T00:00:00
Herfstvakantie,2014-10-27T00:00:00,2014-11-02T00:00:00
Herfstvakantie,2013-10-28T00:00:00,2013-11-03T00:00:00
Herfstvakantie,2012-10-29T00:00:00,2012-11-04T00:00:00
Herfstvakantie,2011-10-31T00:00:00,2011-11-06T00:00:00
Herfstvakantie,2010-11-01T00:00:00,2010-11-07T00:00:00
Herfstvakantie,2009-11-02T00:00:00,2009-11-08T00:00:00
Kerstvakantie,2018-12-24T00:00:00,2019-01-06T00:00:00
Kerstvakantie,2017-12-25T00:00:00,2018-01-07T00:00:00
Kerstvakantie,2016-12-26T00:00:00,2017-01-08T00:00:00
Kerstvakantie,2015-12-21T00:00:00,2016-01-03T00:00:00
Kerstvakantie,2014-12-22T00:00:00,2015-01-04T00:00:00
Kerstvakantie,2013-12-23T00:00:00,2014-01-05T00:00:00
Kerstvakantie,2012-12-24T00:00:00,2013-01-06T00:00:00
Kerstvakantie,2011-12-26T00:00:00,2012-01-08T00:00:00
Kerstvakantie,2010-12-27T00:00:00,2011-01-09T00:00:00
Kerstvakantie,2009-12-21T00:00:00,2010-01-03T00:00:00
Krokusvakantie,2019-03-04T00:00:00,2019-03-10T00:00:00
Krokusvakantie,2018-02-12T00:00:00,2018-02-18T00:00:00
Krokusvakantie,2017-02-27T00:00:00,2017-03-05T00:00:00
Krokusvakantie,2016-02-08T00:00:00,2016-02-14T00:00:00
Krokusvakantie,2015-02-16T00:00:00,2015-02-22T00:00:00
Krokusvakantie,2014-03-03T00:00:00,2014-03-09T00:00:00
Krokusvakantie,2013-02-11T00:00:00,2013-02-17T00:00:00
Krokusvakantie,2012-02-20T00:00:00,2012-02-26T00:00:00
Krokusvakantie,2011-03-07T00:00:00,2011-03-13T00:00:00
Krokusvakantie,2010-02-15T00:00:00,2010-02-21T00:00:00
Paasvakantie,2019-04-08T00:00:00,2019-04-22T00:00:00
Paasvakantie,2018-04-02T00:00:00,2018-04-15T00:00:00
Paasvakantie,2017-04-03T00:00:00,2017-04-17T00:00:00
Paasvakantie,2016-03-28T00:00:00,2016-04-10T00:00:00
Paasvakantie,2015-04-06T00:00:00,2015-04-19T00:00:00
Paasvakantie,2014-04-07T00:00:00,2014-04-21T00:00:00
Paasvakantie,2013-04-01T00:00:00,2013-04-14T00:00:00
Paasvakantie,2012-04-02T00:00:00,2012-04-15T00:00:00
Paasvakantie,2011-04-11T00:00:00,2011-04-25T00:00:00
Paasvakantie,2010-04-05T00:00:00,2010-04-18T00:00:00
Zomervakantie,2019-07-01T00:00:00,2019-08-31T00:00:00
Zomervakantie,2018-07-01T00:00:00,2018-08-31T00:00:00
Zomervakantie,2017-07-01T00:00:00,2017-08-31T00:00:00
Zomervakantie,2016-07-01T00:00:00,2016-08-31T00:00:00
Zomervakantie,2015-07-01T00:00:00,2015-08-31T00:00:00
Zomervakantie,2014-07-01T00:00:00,2014-08-31T00:00:00
Zomervakantie,2013-07-01T00:00:00,2013-08-31T00:00:00
Zomervakantie,2012-07-01T00:00:00,2012-08-31T00:00:00
Zomervakantie,2011-07-01T00:00:00,2011-08-31T00:00:00
Zomervakantie,2010-07-01T00:00:00,2010-08-31T00:00:00
